project,vuln_commit,v_testname,fix_commit,f_testname,sourcefile
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,hmactest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,hmactest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,igetest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,igetest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,md4test,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,md4test,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,md5test,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,md5test,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,mdc2test,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,mdc2test,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,randtest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,randtest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,rmdtest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,rmdtest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,rsa_test,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,rsa_test,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,sha1test,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,sha1test,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,shatest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,shatest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,srptest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,srptest,crypto/x509/x509_vfy.c
openssl,cb6e0ed17a61ae3711d385f517d61be2b4c33a55,ssltest,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,ssltest,crypto/x509/x509_vfy.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,bntest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,bntest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,dhtest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,dhtest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,dsatest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,dsatest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,ecdhtest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,ecdhtest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,ecdsatest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,ecdsatest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,ectest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,ectest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,enginetest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,enginetest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,evp_test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,evp_test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,exptest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,exptest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,hmactest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,hmactest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,igetest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,igetest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,md4test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,md4test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,md5test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,md5test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,mdc2test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,mdc2test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,randtest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,randtest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,rmdtest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,rmdtest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,rsa_test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,rsa_test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,sha1test,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,sha1test,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,shatest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,shatest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,srptest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,srptest,crypto/asn1/a_verify.c
openssl,014265eb02e26f35c8db58e2ccbf100b0b2f0072,ssltest,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,ssltest,crypto/asn1/a_verify.c
openssl,dd2dee60f343a28cd93e065c7dae7619885515ff,evp_test,66e8211c0b1347970096e04b18aa52567c325200,evp_test,crypto/asn1/a_verify.c
openssl,dd2dee60f343a28cd93e065c7dae7619885515ff,ssltest,66e8211c0b1347970096e04b18aa52567c325200,ssltest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,bntest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,bntest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,dhtest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,dhtest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,dsatest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,dsatest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,ecdhtest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,ecdhtest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,ecdsatest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,ecdsatest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,ectest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,ectest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,enginetest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,enginetest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,evp_test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,evp_test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,exptest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,exptest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,hmactest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,hmactest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,igetest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,igetest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,md4test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,md4test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,md5test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,md5test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,mdc2test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,mdc2test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,randtest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,randtest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,rmdtest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,rmdtest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,rsa_test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,rsa_test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,sha1test,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,sha1test,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,shatest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,shatest,crypto/asn1/a_verify.c
openssl,1dfa62d4c871a9007904812e06bdddb2d530ff64,ssltest,ebc71865f0506a293242bd4aec97cdc7a8ef24b0,ssltest,crypto/asn1/a_verify.c
openssl,8b84495380098592ef7bb2fa9209ccb87803bf1d,ssltest,77c77f0a1b9f15b869ca3342186dfbedd1119d0e,ssltest,ssl/s3_pkt.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,asn1test,b717b083073b6cacc0a5e2397b661678aff7ae7f,asn1test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,bntest,b717b083073b6cacc0a5e2397b661678aff7ae7f,bntest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,dhtest,b717b083073b6cacc0a5e2397b661678aff7ae7f,dhtest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,dsatest,b717b083073b6cacc0a5e2397b661678aff7ae7f,dsatest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,ecdhtest,b717b083073b6cacc0a5e2397b661678aff7ae7f,ecdhtest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,ecdsatest,b717b083073b6cacc0a5e2397b661678aff7ae7f,ecdsatest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,ectest,b717b083073b6cacc0a5e2397b661678aff7ae7f,ectest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,enginetest,b717b083073b6cacc0a5e2397b661678aff7ae7f,enginetest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,evp_extra_test,b717b083073b6cacc0a5e2397b661678aff7ae7f,evp_extra_test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,evp_test,b717b083073b6cacc0a5e2397b661678aff7ae7f,evp_test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,exptest,b717b083073b6cacc0a5e2397b661678aff7ae7f,exptest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,hmactest,b717b083073b6cacc0a5e2397b661678aff7ae7f,hmactest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,igetest,b717b083073b6cacc0a5e2397b661678aff7ae7f,igetest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,md4test,b717b083073b6cacc0a5e2397b661678aff7ae7f,md4test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,md5test,b717b083073b6cacc0a5e2397b661678aff7ae7f,md5test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,mdc2test,b717b083073b6cacc0a5e2397b661678aff7ae7f,mdc2test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,randtest,b717b083073b6cacc0a5e2397b661678aff7ae7f,randtest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,rmdtest,b717b083073b6cacc0a5e2397b661678aff7ae7f,rmdtest,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,rsa_test,b717b083073b6cacc0a5e2397b661678aff7ae7f,rsa_test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,sha1test,b717b083073b6cacc0a5e2397b661678aff7ae7f,sha1test,crypto/asn1/tasn_dec.c
openssl,819418110b6fff4a7b96f01a5d68f71df3e3b736,shatest,b717b083073b6cacc0a5e2397b661678aff7ae7f,shatest,crypto/asn1/tasn_dec.c
