project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
curl,https://github.com/bagder/curl/commit/2eb8dcf26cb37f09cffe26909a646e702dbcab66,lib/cookie.c,No,96ffe645fd2494f14780f7c105fcfeeb8ca7d94f,27,14,2eb8dcf26cb37f09cffe26909a646e702dbcab66,19,5,CVE-2013-1944,CWE-200
curl,https://github.com/curl/curl/commit/d530e92f59ae9bb2d47066c3c460b25d2ffeb211,src/tool_msgs.c,No,e97679a360dda4ea6188b09a145f73a2a84acedd,8,11,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,1,1,CVE-2018-16842,CWE-125
curl,https://github.com/curl/curl/commit/81d135d67155c5295b1033679c606165d4e28f3f,lib/url.c,No,9d8dad1a9d79d60e021f0c4e0f66bf5d51fb3c4e,1,1,81d135d67155c5295b1033679c606165d4e28f3f,3,1,CVE-2018-16840,CWE-416
curl,https://github.com/curl/curl/commit/f3a24d7916b9173c69a3e0ee790102993833d6c5,lib/vauth/cleartext.c,No,81d135d67155c5295b1033679c606165d4e28f3f,3,1,f3a24d7916b9173c69a3e0ee790102993833d6c5,1,1,CVE-2018-16839,CWE-119
curl,https://github.com/curl/curl/commit/ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,lib/smtp.c,No,0b4ccc97f26316476d4c2abbd429952bf61b6375,2,0,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,2,1,CVE-2018-0500,CWE-787
curl,https://github.com/curl/curl/commit/1890d59905414ab84a35892b2e45833654aa5c13,tests/data/test1441;tests/data/Makefile.inc;src/tool_writeout.c;tests/data/test1440,Yes,d2bcf1e3e247d116dc96bd3ea32056e3f089449c,245,12,1890d59905414ab84a35892b2e45833654aa5c13,64,2,,
curl,https://github.com/curl/curl/commit/facb0e4662415b5f28163e853dc6742ac5fafb3d,lib/tftp.c,Yes,82f3ba3806a34fe94dcf9e5c9b88deda6679ca1b,33,20,facb0e4662415b5f28163e853dc6742ac5fafb3d,9,3,CVE-2019-5482,CWE-787
curl,https://github.com/bagder/curl/commit/31be461c6b659312100c47be6ddd5f0f569290f6,lib/url.c,No,6088fbce06ea32ef86a999092e36415a550d140a,5,0,31be461c6b659312100c47be6ddd5f0f569290f6,1,1,CVE-2015-3143,CWE-264
curl,https://github.com/curl/curl/commit/9069838b30fb3b48af0123e39f664cea683254a5,lib/security.c,No,facb0e4662415b5f28163e853dc6742ac5fafb3d,9,3,9069838b30fb3b48af0123e39f664cea683254a5,2,4,CVE-2019-5481,CWE-415
curl,https://github.com/bagder/curl/commit/0583e87ada7a3cfb10904ae4ab61b339582c5bd3,lib/url.c,No,b5f947b8ac0e282c61c75b69cd5b9d37dafc6959,7,5,0583e87ada7a3cfb10904ae4ab61b339582c5bd3,1,1,CVE-2015-3144,CWE-119
curl,https://github.com/curl/curl/commit/d41dcba4e9b69d6b761e3460cc6ae7e8fd8f621f,lib/url.c,No,3017d8a8d8849ebd4feae4f5eae037cd55736a61,187,58,d41dcba4e9b69d6b761e3460cc6ae7e8fd8f621f,40,22,CVE-2016-0755,CWE-287
