project,build_type
openldap,LEGACY_AUTOTOOLS
openmpt,LEGACY_MAKE
openrc,LEGACY_MAKE
OpenSC,LEGACY_AUTOTOOLS
openscad,MODERN_CMAKE
opensips,LEGACY_MAKE
openssl,UNKNOWN
Openswan,LEGACY_MAKE
openthread,MODERN_CMAKE
openvpn,LEGACY_AUTOTOOLS
opus,LEGACY_AUTOTOOLS
ovs,LEGACY_AUTOTOOLS
ox,UNKNOWN
pacemaker,LEGACY_AUTOTOOLS
PackageKit,LEGACY_AUTOTOOLS
pam-u2f,LEGACY_AUTOTOOLS
pango,LEGACY_AUTOTOOLS
passenger,LEGACY_AUTOTOOLS
percona-xtrabackup,MODERN_CMAKE
percona-xtradb-cluster,MODERN_CMAKE
pgbouncer,LEGACY_AUTOTOOLS
phosphor-host-ipmid,LEGACY_AUTOTOOLS
php-src,LEGACY_AUTOTOOLS
pigeonhole,LEGACY_AUTOTOOLS
Pillow,LEGACY_MAKE
pjproject,LEGACY_AUTOTOOLS
png-img,UNKNOWN
pngquant,LEGACY_AUTOTOOLS
polarssl,MODERN_CMAKE
polkit,LEGACY_AUTOTOOLS
proftpd,LEGACY_AUTOTOOLS
proxychains-ng,LEGACY_AUTOTOOLS
ps-lite,MODERN_CMAKE
psutil,LEGACY_MAKE
puma,UNKNOWN
pycurl,LEGACY_MAKE
qdecoder,LEGACY_AUTOTOOLS
qemu,LEGACY_AUTOTOOLS
qtbase,MODERN_CMAKE
quagga,LEGACY_AUTOTOOLS
quagga-RE,LEGACY_AUTOTOOLS
rabbitmq-c,MODERN_CMAKE
radare2,LEGACY_AUTOTOOLS
raptor,MODERN_CMAKE
rawspeed,MODERN_CMAKE
rdesktop,LEGACY_AUTOTOOLS
re2c,MODERN_CMAKE
redcarpet,UNKNOWN
redis,LEGACY_MAKE
retdec,MODERN_CMAKE
rizin,UNKNOWN
roundcubemail,UNKNOWN
rpm,LEGACY_AUTOTOOLS
rsyslog,LEGACY_AUTOTOOLS
rtl_433,MODERN_CMAKE
ruby,UNKNOWN
runc,LEGACY_MAKE
samba,LEGACY_AUTOTOOLS
scylladb,MODERN_CMAKE
sddm,MODERN_CMAKE
seatd,UNKNOWN
serenity,MODERN_CMAKE
server,MODERN_CMAKE
shadow,LEGACY_AUTOTOOLS
shapelib,MODERN_CMAKE
Singular,LEGACY_AUTOTOOLS
skiboot,LEGACY_MAKE
sleuthkit,LEGACY_AUTOTOOLS
snapd,UNKNOWN
SoftHSMv2,LEGACY_AUTOTOOLS
spice,LEGACY_AUTOTOOLS
spice-common,LEGACY_AUTOTOOLS
sqlcipher,LEGACY_AUTOTOOLS
sqlite,LEGACY_AUTOTOOLS
squid,LEGACY_AUTOTOOLS
stb,UNKNOWN
swtpm,LEGACY_AUTOTOOLS
taglib,MODERN_CMAKE
tcpdump,LEGACY_AUTOTOOLS
tcpreplay,LEGACY_AUTOTOOLS
thrift,MODERN_CMAKE
tigervnc,MODERN_CMAKE
tinyexr,LEGACY_MAKE
tinyproxy,LEGACY_AUTOTOOLS
tnef,LEGACY_AUTOTOOLS
tpm,LEGACY_MAKE
tpm2-tools,LEGACY_AUTOTOOLS
trafficserver,MODERN_CMAKE
trojita,MODERN_CMAKE
u-boot,LEGACY_MAKE
unicorn,MODERN_CMAKE
