project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-dv-411,11.4233,9.1117,2598064111,2.8336,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-dv-411,libavformat/adtsenc.c,11.5650,9.0333,2558467222,2.8605
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-dv-50,12.4860,9.9860,2802211363,2.7308,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-dv-50,libavformat/adtsenc.c,12.6780,9.8420,2731408495,2.7708
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-dv-fhd,36.1650,29.3400,8659460974,2.8098,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-dv-fhd,libavformat/adtsenc.c,37.6850,29.6450,8683718347,2.7855
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-dv-hd,19.2425,15.5675,4547099396,2.7257,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-dv-hd,libavformat/adtsenc.c,19.7750,15.5500,4504819238,2.7348
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1,7.7875,6.1787,1679397530,2.5704,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1,libavformat/adtsenc.c,8.6000,6.6875,1790880999,2.4412
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v0,8.3700,6.4789,1747683468,2.5518,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v0,libavformat/adtsenc.c,7.7533,6.0578,1612081944,2.6769
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v3-bgr0,15.1720,11.8180,3316093303,2.4946,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v3-bgr0,libavformat/adtsenc.c,14.2500,11.1880,3100672884,2.5630
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v3-rgb48,38.9950,31.9300,9215812050,1.8173,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v3-rgb48,libavformat/adtsenc.c,40.7900,32.5850,9264640398,1.8056
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v3-yuv420p,7.8289,6.2589,1680071366,2.5921,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v3-yuv420p,libavformat/adtsenc.c,7.9122,6.1678,1634159183,2.6328
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v3-yuv422p10,12.8520,10.2160,2946651670,2.5704,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v3-yuv422p10,libavformat/adtsenc.c,14.0020,10.8760,3071824401,2.5488
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffv1-v3-yuv444p16,18.1850,14.7450,4143356953,2.9663,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffv1-v3-yuv444p16,libavformat/adtsenc.c,18.5925,14.7300,4073665786,3.0028
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffvhuff,5.8415,4.5385,1184711631,1.9558,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffvhuff,libavformat/adtsenc.c,4.9346,3.7331,1022822113,2.1424
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffvhuff420p12,5.6255,4.3373,1213173324,2.1033,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffvhuff420p12,libavformat/adtsenc.c,5.5982,4.1864,1164874530,2.1415
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffvhuff422p10left,6.4300,5.0200,1385237217,2.5006,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffvhuff422p10left,libavformat/adtsenc.c,6.4090,4.8720,1374650037,2.5222
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffvhuff444,6.8167,5.2633,1502915231,2.8055,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffvhuff444,libavformat/adtsenc.c,7.3744,5.5611,1602981248,2.7201
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ffvhuff444p16,8.6929,6.7586,1969146599,2.5908,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ffvhuff444p16,libavformat/adtsenc.c,8.7157,6.6043,1968030469,2.6334
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-flashsv,10.6343,8.1971,2280769935,2.5294,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-flashsv,libavformat/adtsenc.c,9.9600,7.7300,2116602706,2.6092
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-flashsv2,6.5890,5.1890,1380409508,2.9058,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-flashsv2,libavformat/adtsenc.c,6.4680,4.9780,1371779591,2.9476
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-flv,5.7673,4.5336,1185841555,2.5682,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-flv,libavformat/adtsenc.c,5.8191,4.4691,1182407841,2.6105
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-h261,5.9250,4.6975,1223800530,2.4446,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-h261,libavformat/adtsenc.c,5.5817,4.2642,1120887036,2.5201
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-h261-trellis,7.9300,6.3350,1717203994,2.4018,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-h261-trellis,libavformat/adtsenc.c,9.4238,7.3650,1875950076,2.2662
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-h263,5.7136,4.4745,1158154360,2.5689,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-h263,libavformat/adtsenc.c,5.8245,4.4827,1178026730,2.5946
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-h263-obmc,6.3164,4.8309,1283234833,2.5434,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-h263-obmc,libavformat/adtsenc.c,5.8964,4.5436,1200492996,2.6438
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-h263p,7.1278,5.5911,1540413426,2.3471,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-h263p,libavformat/adtsenc.c,7.7311,5.9733,1645475465,2.2216
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-huffyuv,6.1645,4.6927,1304406131,2.3326,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-huffyuv,libavformat/adtsenc.c,5.7142,4.3408,1184867526,2.4407
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-huffyuvbgr24,6.3990,4.9820,1377079698,2.3879,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-huffyuvbgr24,libavformat/adtsenc.c,6.4520,4.8860,1360572985,2.4090
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-huffyuvbgra,6.8022,5.2889,1501638355,2.2926,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-huffyuvbgra,libavformat/adtsenc.c,6.7989,5.1422,1482706776,2.3200
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-jpeg2000,53.9050,44.3850,12895979772,1.7005,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-jpeg2000,libavformat/adtsenc.c,55.7050,44.6050,12687397586,1.7221
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-jpeg2000-97,60.4750,49.7300,14484490170,1.7515,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-jpeg2000-97,libavformat/adtsenc.c,61.7550,49.4450,14242081862,1.7752
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-jpegls,18.3375,14.8300,4203992746,2.3228,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-jpegls,libavformat/adtsenc.c,18.6825,14.8325,4177262246,2.3587
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-ljpeg,6.1200,4.8355,1271595769,2.8447,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-ljpeg,libavformat/adtsenc.c,6.4427,4.9891,1266352097,2.8461
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg,5.8955,4.6282,1226829224,2.5977,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg,libavformat/adtsenc.c,5.7936,4.4355,1189341070,2.6844
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg-422,7.7000,5.9856,1615867579,2.4807,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg-422,libavformat/adtsenc.c,6.4300,4.9390,1337116535,2.8883
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg-444,7.7622,5.9756,1677658508,3.0063,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg-444,libavformat/adtsenc.c,7.1900,5.5456,1514114979,3.2002
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg-huffman,5.8609,4.6082,1226837184,2.6356,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg-huffman,libavformat/adtsenc.c,5.9218,4.5382,1200250128,2.6690
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg-trell,7.5233,5.9789,1606635785,2.5472,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg-trell,libavformat/adtsenc.c,7.8356,6.0700,1653754033,2.5547
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mjpeg-trell-huffman,7.5122,5.9856,1625377791,2.5692,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mjpeg-trell-huffman,libavformat/adtsenc.c,7.6767,5.9456,1609572216,2.5639
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mov-bgr24,5.2550,4.0600,1046363718,2.8187,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mov-bgr24,libavformat/adtsenc.c,5.2525,3.9667,1046099698,2.8658
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mov-bpp15,5.2833,4.1017,1052916413,2.9700,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mov-bpp15,libavformat/adtsenc.c,5.3000,4.0092,1044349559,3.0210
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mov-bpp16,5.5308,4.1817,1103221940,2.9164,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mov-bpp16,libavformat/adtsenc.c,5.1977,3.9423,1049175855,3.0558
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-vsynth1-mpeg1,5.7991,4.5564,1193653470,2.5698,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-vsynth1-mpeg1,libavformat/adtsenc.c,5.7955,4.4409,1176244095,2.5999
