project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isoclns-oobr,2.1406,1.4033,77821836,1.0592,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isoclns-oobr,print-rt6.c,1.8772,1.2139,44107088,1.0834
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,nfs-attr-oobr,2.0394,1.3094,64632460,0.9636,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,nfs-attr-oobr,print-rt6.c,1.9111,1.2350,47706970,1.0509
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,decnet-oobr,2.3394,1.5861,106870432,0.8928,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,decnet-oobr,print-rt6.c,1.8663,1.1995,42379614,1.0341
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,slip-bad-direction,2.6472,1.8633,193172082,1.3070,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,slip-bad-direction,print-rt6.c,1.9094,1.2444,48323746,1.0606
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,nbns-valgrind,1.9433,1.2672,48556391,1.0921,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,nbns-valgrind,print-rt6.c,2.1972,1.4378,78817501,0.9892
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,arp-oobr,1.9772,1.2850,51987704,1.1785,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,arp-oobr,print-rt6.c,1.9928,1.2928,49231850,1.1910
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,icmp-cksum-oobr-1,2.1878,1.4311,67838300,1.0354,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,icmp-cksum-oobr-1,print-rt6.c,2.7465,1.9194,187846667,0.9596
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,icmp-cksum-oobr-2,2.0511,1.3167,55486322,0.9877,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,icmp-cksum-oobr-2,print-rt6.c,2.1228,1.4261,81255074,1.5127
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,icmp-cksum-oobr-3,1.9061,1.2283,42224225,1.0403,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,icmp-cksum-oobr-3,print-rt6.c,2.1441,1.4253,79801097,0.8847
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,icmp-cksum-oobr-4,2.0271,1.3429,55518783,1.1529,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,icmp-cksum-oobr-4,print-rt6.c,2.7633,1.9800,252683280,1.3596
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,tok2str-oobr-1,2.0089,1.2811,49966922,0.9253,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,tok2str-oobr-1,print-rt6.c,1.9289,1.2383,46235984,1.0227
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,tok2str-oobr-2,2.2300,1.4576,84209025,0.9950,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,tok2str-oobr-2,print-rt6.c,1.9683,1.2761,47258007,1.0051
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,rtp-seg-fault-1,3.0700,2.2228,239051542,1.2092,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,rtp-seg-fault-1,print-rt6.c,1.9228,1.2339,45403089,1.0147
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,rtp-seg-fault-2,2.1135,1.3524,55286845,0.9359,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,rtp-seg-fault-2,print-rt6.c,1.9556,1.2628,48049327,1.0373
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,nfs-seg-fault-1,2.1906,1.4382,74092388,1.0131,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,nfs-seg-fault-1,print-rt6.c,2.0011,1.3050,52321918,1.1015
