project,vuln_commit,v_testname,fix_commit,f_testname,sourcefile
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s32le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s32le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s32le_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s32le_planar,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s8,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s8,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s8_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s8_planar,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u16be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u16be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u16le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u16le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u24be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u24be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u24le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u24le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u32be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u32be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u32le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u32le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-u8,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-u8,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-ra144,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-ra144,libavformat/adtsenc.c
