project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-mapchan-6ch-extract-2-downmix-mono,3.0100,2.3586,603321927,2.2365,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-mapchan-6ch-extract-2-downmix-mono,libavcodec/dnxhd_parser.c,3.0614,2.4057,604906047,2.2370
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-mapchan-silent-mono,3.0050,2.3500,593858430,2.2179,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-mapchan-silent-mono,libavcodec/dnxhd_parser.c,2.9871,2.3457,598398531,2.2252
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-movenc,2.8275,2.2325,574001709,2.2289,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-movenc,libavcodec/dnxhd_parser.c,2.8475,2.2425,558708186,2.2346
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ima_qt,3.7018,2.8545,710144456,2.2606,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ima_qt,libavcodec/dnxhd_parser.c,3.7591,2.8964,706971049,2.2605
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ima_qt-trellis,10.8125,8.8425,2361334112,2.2078,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ima_qt-trellis,libavcodec/dnxhd_parser.c,11.2175,9.1875,2384925036,2.1935
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ima_wav,3.3723,2.5931,639440527,2.2276,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ima_wav,libavcodec/dnxhd_parser.c,3.4354,2.6531,643775754,2.2179
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ima_wav-trellis,10.8650,8.9075,2376982591,2.1527,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ima_wav-trellis,libavcodec/dnxhd_parser.c,12.0100,9.8650,2525999731,2.1165
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ms,3.4023,2.6169,638519401,2.2392,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ms,libavcodec/dnxhd_parser.c,3.3315,2.5592,625720088,2.2539
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-ms-trellis,8.7500,7.1320,1857832080,2.3664,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-ms-trellis,libavcodec/dnxhd_parser.c,8.6860,7.0960,1853286861,2.3812
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-swf,3.5042,2.7033,644678466,2.2264,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-swf,libavcodec/dnxhd_parser.c,3.4025,2.6183,641842952,2.2445
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-swf-trellis,10.7850,8.8000,2366411370,2.1567,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-swf-trellis,libavcodec/dnxhd_parser.c,10.9925,8.9925,2393755825,2.1341
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-yamaha,3.3458,2.5742,629231998,2.2454,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-yamaha,libavcodec/dnxhd_parser.c,3.3100,2.5369,623007540,2.2362
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-adpcm-yamaha-trellis,10.8350,8.8775,2360188770,2.1784,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-adpcm-yamaha-trellis,libavcodec/dnxhd_parser.c,10.8150,8.8525,2331351266,2.1914
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-alac,3.6258,2.7925,684217630,2.2954,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-alac,libavcodec/dnxhd_parser.c,3.6982,2.8545,695196106,2.2791
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-flac,3.4783,2.6533,646645506,2.2848,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-flac,libavcodec/dnxhd_parser.c,3.4742,2.6600,658639209,2.2799
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-mp2,3.4783,2.6833,663127311,2.3255,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-mp2,libavcodec/dnxhd_parser.c,3.4692,2.6792,667352747,2.3298
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-alaw,3.3323,2.5608,622518148,2.2221,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-alaw,libavcodec/dnxhd_parser.c,3.2700,2.5031,610051595,2.2397
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-f32be,3.4085,2.6262,634493212,2.2239,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-f32be,libavcodec/dnxhd_parser.c,3.3592,2.5817,624358935,2.2391
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-f32le,3.3692,2.5946,635888662,2.2322,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-f32le,libavcodec/dnxhd_parser.c,3.4215,2.6323,634154691,2.2203
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-f64be,3.4800,2.6583,621457470,2.2135,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-f64be,libavcodec/dnxhd_parser.c,3.4245,2.6091,624122565,2.2253
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-f64le,3.4708,2.6600,637622519,2.2298,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-f64le,libavcodec/dnxhd_parser.c,3.4800,2.6683,637160596,2.2261
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-mulaw,3.2792,2.5115,610295756,2.2451,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-mulaw,libavcodec/dnxhd_parser.c,3.3015,2.5315,608233840,2.2416
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-s16be,3.3238,2.5438,606920034,2.2304,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-s16be,libavcodec/dnxhd_parser.c,3.3085,2.5423,620678291,2.2389
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-s16le,3.4400,2.6333,641955328,2.2603,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-s16le,libavcodec/dnxhd_parser.c,3.4250,2.6275,644423215,2.2669
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-s24be,3.3433,2.5675,625733202,2.2215,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-s24be,libavcodec/dnxhd_parser.c,3.3583,2.5858,626442061,2.2409
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,fate-seek-acodec-pcm-s24le,3.3777,2.6038,632523684,2.2400,31c1c0b46a7021802c3d1d18039fca30dba5a14e,fate-seek-acodec-pcm-s24le,libavcodec/dnxhd_parser.c,3.5469,2.7485,651278986,2.1952
